Site & PA,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
527.0,16,,527.0,Game: Escape from Tarkov,25-30,13,65.0,0,,25-30,0,
327.0,10,,327.0,Service:,30-35,15,75.0,0,,30-35,0,
197.0,6,,197.0,Display Name:,35-40,25,125.0,0,,35-40,0,
82.0,2,,82.0,Login:,40-45,33,165.0,0,,40-45,0,
32.0,1,,32.0,Region:,50-55,0,,0,,50-55,0,
55.0,2,,55.0,,60-65,0,,0,,60-65,0,
65.0,2,,65.0,,70-75,0,,0,,70-75,0,
65.0,2,,65.0,Game: Escape from Tarkov,75-80,0,,0,,75-80,0,
75.0,3,,75.0,Service: Level 1-40,80-85,0,,0,,80-85,0,
10.0,6,Required: Level 20,10.0,,120-125,0,,0,,120-125,0,
25.0,24,Required: Level 30,25.0,,125-130,0,,0,,125-130,0,
60.0,48,Required: Level 40,60.0,,130-135,0,,0,,130-135,0,
80.0,48,Required: Level 40,80.0,,135-140,0,,0,,135-140,0,
80.0,24,Required: Market Unlock,80.0,,165-170,0,,0,,165-170,0,
40.0,12,Required: Market Unlock,40.0,,175-180,0,,0,,175-180,0,
10.0,3,Required: Market Unlock,10.0,,180-185,0,,0,,180-185,0,
19.0,2,Requires: 200k Gear,19.0,,Current,12,,1,,Current,1,
22.0,2,Requires: 200k Gear,22.0,,Site,33,,0,,Site,0,
15.0,3,,15.0,,2,8,,,,2,,
15.0,3,,15.0,,3,16,,,,3,,
15.0,3,,15.0,,4,24,,,,4,,
15.0,3,,15.0,,5,32,,,,5,,
15.0,3,,15.0,,6,42,,,,6,,
15.0,3,,15.0,,7,52,,,,7,,
15.0,3,,15.0,,8,62,,,,8,,
15.0,3,,15.0,,9,72,,,,9,,
15.0,3,,15.0,,10,82,,,,10,,
70.0,48,,70.0,,11,93,,,,11,,
15.0,3,,15.0,,12,104,,,,12,,
15.0,3,,15.0,,13,115,,,,13,,
15.0,3,,15.0,,14,126,,,,14,,
120.0,Varies,,120.0,,15,137,,,,15,,
20.0,12,,20.0,,16,149,,,,16,,
20.0,12,,20.0,,17,161,,,,17,,
20.0,12,,20.0,,18,173,,,,18,,
140.0,Varies,,140.0,,19,185,,,,19,,
15.0,3,,15.0,,20,197,,,,20,,
15.0,3,,15.0,,21,210,,,,21,,
15.0,3,,15.0,,22,223,,,,22,,
15.0,3,,15.0,,23,236,,,,23,,
15.0,3,,15.0,,24,249,,,,24,,
15.0,3,,15.0,,25,262,,,,25,,
190.0,Varies,,190.0,,26,275,,,,26,,
110.0,Varies,,110.0,,27,288,,,,27,,
65.0,48,,65.0,,28,301,,,,28,,
15.0,3,,15.0,,29,314,,,,29,,
15.0,3,,15.0,,35,402,,,,35,,
18.0,3,,18.0,,36,427,,,,36,,
15.0,3,,15.0,,37,452,,,,37,,
19.0,3,,19.0,,38,477,,,,38,,
15.0,3,,15.0,,39,502,,,,39,,
19.0,3,,19.0,,40,527,,,,40,,
25.0,12,,25.0,,41,560,,,,41,,
25.0,12,,25.0,,42,593,,,,42,,
33.0,24,,33.0,,43,626,,,,43,,
33.0,24,,33.0,,44,659,,,,44,,
33.0,24,,33.0,,45,692,,,,45,,
19.0,3,,19.0,,46,692,,,,46,,
19.0,3,,19.0,,47,692,,,,47,,
15.0,3,,15.0,,48,692,,,,48,,
110.0,Varies,,110.0,,49,692,,,,49,,
85.0,48,,85.0,,50,692,,,,50,,
25.0,3,,25.0,,51,692,,,,51,,
200.0,Varies,,200.0,,52,692,,,,52,,
17.0,3,,17.0,,58,692,,,,58,,
15.0,3,,15.0,,59,692,,,,59,,
45.0,12,,45.0,,60,692,,,,60,,
15.0,3,,15.0,,61,692,,,,61,,
17.0,3,,17.0,,62,692,,,,62,,
45.0,12,,45.0,,63,692,,,,63,,
17.0,3,,17.0,,64,692,,,,64,,
17.0,3,,17.0,,65,692,,,,65,,
65.0,24,,65.0,,66,692,,,,66,,
99.0,Varies,,99.0,,67,692,,,,67,,
17.0,3,,17.0,,68,692,,,,68,,
17.0,3,,17.0,,69,692,,,,69,,
17.0,3,,17.0,,70,692,,,,70,,
65.0,3,,65.0,,71,692,,,,71,,
33.0,3,,33.0,,72,692,,,,72,,
17.0,3,,17.0,,73,692,,,,73,,
17.0,3,,17.0,,74,692,,,,74,,
150.0,Varies,,150.0,,75,692,,,,75,,
25.0,12,,25.0,,76,692,,,,76,,
22.0,3,,22.0,,82,692,,,,82,,
15.0,3,,15.0,,83,692,,,,83,,
15.0,3,,15.0,,84,692,,,,84,,
45.0,12,,45.0,,85,692,,,,85,,
17.0,3,,17.0,,86,692,,,,86,,
15.0,3,,15.0,,87,692,,,,87,,
17.0,3,,17.0,,88,692,,,,88,,
45.0,12,,45.0,,89,692,,,,89,,
25.0,3,,25.0,,90,692,,,,90,,
17.0,3,,17.0,,91,692,,,,91,,
17.0,3,,17.0,,92,692,,,,92,,
17.0,3,,17.0,,93,692,,,,93,,
45.0,12,,45.0,,94,692,,,,94,,
15.0,3,,15.0,,95,692,,,,95,,
35.0,3,,35.0,,96,692,,,,96,,
45.0,3,,45.0,,97,692,,,,97,,
17.0,3,,17.0,,98,692,,,,98,,
135.0,Varies,,135.0,,99,692,,,,99,,
200.0,Varies,,200.0,,100,692,,,,100,,
400.0,Varies,,400.0,,101,692,,,,101,,
25.0,1,,25.0,,107,692,,,,107,,
45.0,24,,45.0,,108,692,,,,108,,
15.0,3,,15.0,,109,692,,,,109,,
190.0,Varies,,190.0,,110,692,,,,110,,
15.0,3,,15.0,,111,692,,,,111,,
80.0,3,,80.0,,112,692,,,,112,,
17.0,3,,17.0,,113,692,,,,113,,
80.0,48,,80.0,,114,692,,,,114,,
25.0,3,,25.0,,115,692,,,,115,,
80.0,48,,80.0,,116,692,,,,116,,
45.0,48,,45.0,,117,692,,,,117,,
150.0,Varies,,150.0,,118,692,,,,118,,
15.0,3,,15.0,,119,692,,,,119,,
15.0,3,,15.0,,125,692,,,,125,,
15.0,3,,15.0,,126,692,,,,126,,
35.0,3,,35.0,,127,692,,,,127,,
50.0,48,,50.0,,128,692,,,,128,,
15.0,3,,15.0,,129,692,,,,129,,
17.0,3,,17.0,,130,692,,,,130,,
17.0,3,,17.0,,131,692,,,,131,,
17.0,3,,17.0,,132,692,,,,132,,
30.0,12,,30.0,,133,692,,,,133,,
25.0,12,,25.0,,134,692,,,,134,,
65.0,Varies,,65.0,,135,692,,,,135,,
35.0,12,,35.0,,136,692,,,,136,,
25.0,12,,25.0,,137,692,,,,137,,
15.0,3,,15.0,,138,692,,,,138,,
35.0,24,,35.0,,139,692,,,,139,,
25.0,12,,25.0,,140,692,,,,140,,
25.0,12,,25.0,,141,692,,,,141,,
80.0,Varies,,80.0,,147,692,,,,147,,
15.0,3,,15.0,,148,692,,,,148,,
17.0,3,,17.0,,149,692,,,,149,,
35.0,3,,35.0,,150,692,,,,150,,
25.0,3,,25.0,,151,692,,,,151,,
35.0,3,,35.0,,152,692,,,,152,,
45.0,24,,45.0,,153,692,,,,153,,
25.0,3,,25.0,,154,692,,,,154,,
35.0,3,,35.0,,155,692,,,,155,,
35.0,3,,35.0,,156,692,,,,156,,
25.0,24,,25.0,,157,692,,,,157,,
35.0,24,,35.0,,158,692,,,,158,,
35.0,24,,35.0,,159,692,,,,159,,
35.0,24,,35.0,,160,692,,,,160,,
35.0,24,,35.0,,161,692,,,,161,,
35.0,24,,35.0,,162,692,,,,162,,
35.0,24,,35.0,,163,692,,,,163,,
35.0,24,,35.0,,164,692,,,,164,,
80.0,Varies,,80.0,,165,692,,,,165,,
45.0,3,,45.0,,166,692,,,,166,,
15.0,3,,15.0,,167,692,,,,167,,
80.0,Varies,,80.0,,168,692,,,,168,,
15.0,3,,15.0,,169,692,,,,169,,
15.0,3,,15.0,,170,692,,,,170,,
15.0,3,,15.0,,171,692,,,,171,,
17.0,3,,17.0,,172,692,,,,172,,
25.0,24,,25.0,,173,692,,,,173,,
45.0,24,,45.0,,174,692,,,,174,,
25.0,24,,25.0,,175,692,,,,175,,
45.0,24,,45.0,,176,692,,,,176,,
35.0,24,,35.0,,177,692,,,,177,,
35.0,24,,35.0,,178,692,,,,178,,
