Site & PA$,Time,PA$,Game Name,Level,Per Level,Per Range,PVP,Per Level.1,Per Range.1,Map,Per Level.2,Per Range.2
52.0,3.5,52.0,Game: Guild Wars 2,25-30,0.5,2.5,25-30,6,30.0,25-30,1,5.0
2.5,0.1,2.5,Region (US/EU): ,45-50,0.5,2.5,45-50,9,45.0,45-50,1,5.0
2.5,0.1,2.5,Character Name: ,50-55,0.75,3.75,50-55,9,45.0,50-55,1,5.0
2.5,0.1,2.5,,60-65,1,5.0,60-65,9,45.0,60-65,1,5.0
2.5,0.1,2.5,,70-75,1,5.0,70-75,9,45.0,70-75,1,5.0
2.5,0.1,2.5,Game: Guild Wars 2,75-80,1,5.0,75-80,9,45.0,75-80,1,5.0
2.5,0.2,2.5,Service: Leveling 1-80,80-85,0,,80-85,9,45.0,80-85,1,5.0
5.0,0.5,5.0,Region (US/EU): US,95-100,0,,95-100,9,45.0,95-100,1,5.0
5.0,0.5,5.0,Character Name: CharName,100-105,0,,100-105,9,45.0,100-105,0,
5.0,0.5,5.0,,110-115,0,,110-115,9,45.0,110-115,0,
177.0,8,177.0,,140-145,0,,140-145,9,45.0,140-145,0,
12.0,1,12.0,,150-155,0,,150-155,9,45.0,150-155,0,
15.0,1,15.0,,155-160,0,,155-160,9,45.0,155-160,0,
15.0,1,15.0,,160-165,0,,160-165,9,45.0,160-165,0,
15.0,1,15.0,,165-170,0,,165-170,9,45.0,165-170,0,
30.0,1,30.0,,175-180,0,,175-180,9,45.0,175-180,0,
30.0,1,30.0,,180-185,0,,180-185,9,45.0,180-185,0,
30.0,1,30.0,Use Site pricing for PA,185-190,0,,185-190,9,45.0,185-190,0,
30.0,1,30.0,,190-195,0,,190-195,9,45.0,190-195,0,
100.0,10 Days,100.0,,Site,26.25,,Site,1572,,Site,99,
