Site$,PA$,Unnamed: 5,Unnamed: 7,Game Name,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
,,,,Game: League of Legends,0,,25-30,0,,25-30,0,
,,,,Region (NA/EUW/EUNE):,0,,30-35,0,,30-35,0,
,,,,Game Mode: Solo (Piloted),0,,35-40,0,,35-40,0,
5,5.94530321,,,Summoner Name: ,0,,55-60,0,,55-60,0,
5,5.94530321,,,,0,,65-70,0,,65-70,0,
8,9.512485137,,,,0,,75-80,0,,75-80,0,
,,,,Game: League of Legends,0,,80-85,0,,80-85,0,
,,,,Region (NA/EUW/EUNE): NA,0,,85-90,0,,85-90,0,
,,,,Game Mode: Solo (Piloted),0,,90-95,0,,90-95,0,
20,23.78121284,4,5,,0,,120-125,0,,120-125,0,
20,23.78121284,4,5,,0,,125-130,0,,125-130,0,
20,23.78121284,4,5,,0,,135-140,0,,135-140,0,
25,29.72651605,5,8,,0,,145-150,0,,145-150,0,
25,29.72651605,5,8,Game: League of Legends,0,,150-155,0,,150-155,0,
25,29.72651605,5,8,Region (NA/EUW/EUNE):,0,,155-160,0,,155-160,0,
30,35.67181926,6,10,Game Mode: Duo,0,,160-165,0,,160-165,0,
45,53.50772889,9,15,,0,,185-190,0,,185-190,0,
50,59.4530321,10,20,,0,,190-195,0,,190-195,0,
55,65.39833532,11,30,,,0.0,,,0.0,,,0.0
65,77.28894174,13,35,Game: League of Legends,,,,,,,,
90,107.0154578,16,50,Region (NA/EUW/EUNE): NA,1,,Current,1,,Current,1,
120,142.6872771,20,70,Game Mode: Duo,60,,Desired,200,,Desired,200,
,,,,Game: League of Legends,,,2,,,2,,
,,,,Region (NA/EUW/EUNE):,,,3,,,3,,
7,8.323424495,,,Game Mode: Teamfight Tactics,,,4,,,4,,
11,13.07966706,,,,,,10,,,10,,
15,17.83590963,,,,,,12,,,12,,
20,23.78121284,,,Game: League of Legends,,,13,,,13,,
,,,,Region (NA/EUW/EUNE): NA,,,14,,,14,,
,,,,Game Mode: Teamfight Tactics,,,15,,,15,,
24,28.53745541,5,4,,,,21,,,21,,
24,28.53745541,5,4,,,,22,,,22,,
24,28.53745541,5,4,Use Site pricing for PA,,,23,,,23,,
24,28.53745541,5,4,,,,24,,,24,,
24,28.53745541,5,4,,,,26,,,26,,
30,35.67181926,6,5,,,,27,,,27,,
30,35.67181926,6,5,,,,28,,,28,,
30,35.67181926,6,5,,,,29,,,29,,
36,42.80618312,7,6,,,,30,,,30,,
46,54.69678954,8,7,,,,31,,,31,,
46,54.69678954,8,7,,,,32,,,32,,
52,61.83115339,10,8,,,,33,,,33,,
59,70.15457788,11,9,,,,34,,,34,,
65,77.28894174,12,10,,,,35,,,35,,
65,77.28894174,12,10,,,,36,,,36,,
72,85.61236623,13,11,,,,37,,,37,,
85,101.0701546,16,13,,,,38,,,38,,
120,142.6872771,19,16,,,,39,,,39,,
150,178.3590963,24,20,,,,40,,,40,,
225,267.5386445,30,25,,,,41,,,41,,
375,445.8977408,36,30,,,,42,,,42,,
