Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
70,2,,83.23424495,Game: Lost Ark,25-30,1,5.0,0,,25-30,0,
30,1,,35.67181926,Region (US-E/US-W/EU-C): ,30-35,2,10.0,0,,30-35,0,
20,1,,23.78121284,Service: ,35-40,2,10.0,0,,35-40,0,
20,1,,23.78121284,Server Name: ,40-45,3,15.0,0,,40-45,0,
,,,,Class: ,45-50,3,15.0,0,,45-50,0,
,,,,Login: ,50-55,50,250.0,0,,50-55,0,
,,,,Password: ,55-60,100,500.0,0,,55-60,0,
,,,,Character Name: ,60-65,0,0.0,0,,60-65,0,
1,1,Required: iLvl 310,1.189060642,,80-85,0,,0,,80-85,0,
1,1,Required: iLvl 325,1.189060642,Game: Lost Ark,85-90,0,,0,,85-90,0,
1,1,Required: iLvl 340,1.189060642,Region (US-E/US-W/EU-C): US East,90-95,0,,0,,90-95,0,
1,1,Required: iLvl 355,1.189060642,Service: Leveling 01-50,95-100,0,,0,,95-100,0,
1,1,Required: iLvl 370,1.189060642,Server Name: Rush,100-105,0,,0,,100-105,0,
1,1,Required: iLvl 400,1.189060642,,105-110,0,,0,,105-110,0,
1,1,Required: iLvl 415,1.189060642,Class: Bard,110-115,0,,0,,110-115,0,
10,1,Required: iLvl 302,11.89060642,,145-150,0,,0,,145-150,0,
10,1,Required: iLvl 325,11.89060642,,165-170,0,,0,,165-170,0,
10,1,Required: iLvl 340,11.89060642,,175-180,0,,0,,175-180,0,
15,1,Required: iLvl 415,17.83590963,,180-185,0,,0,,180-185,0,
15,1,Required: iLvl 460,17.83590963,,185-190,0,,0,,185-190,0,
20,1,Required: iLvl 825,23.78121284,,190-195,0,,0,,190-195,0,
20,1,Required: iLvl 840,23.78121284,,195-200,0,,0,,195-200,0,
20,1,Required: iLvl 915,23.78121284,,,,820.0,,0.0,,,0.0
20,1,Required: iLvl 915,23.78121284,,,,,,,,,
20,1,Required: iLvl 960,23.78121284,,Current,63,,1,,Current,1,
1,1,xxx,1.189060642,,0.2,250,,250,,0.2,250,
1,1,xxx,1.189060642,,,,,,,,,
1,1,xxx,1.189060642,,,,,,,,,
1,1,xxx,1.189060642,,Level,Cumulative,,Cumulative,,xxx,Cumulative,
1,1,xxx,1.189060642,,1,0,,0,,1,0,
1,1,xxx,1.189060642,,2,0,,,,2,,
15,1,Required: iLvl 302,17.83590963,,8,0,,,,8,,
15,1,Required: iLvl 340,17.83590963,,9,0,,,,9,,
15,1,Required: iLvl 380,17.83590963,,10,0,,,,10,,
15,1,Required: iLvl 420,17.83590963,,11,1,,,,11,,
15,1,Required: iLvl 460,17.83590963,,12,2,,,,12,,
15,1,Required: iLvl 500,17.83590963,,13,3,,,,13,,
15,1,Required: iLvl 540,17.83590963,,14,4,,,,14,,
15,1,Required: iLvl 580,17.83590963,Artillerist,15,5,,,,15,,
15,1,Required: iLvl 802,17.83590963,Bard,16,6,,,,16,,
15,1,Required: iLvl 840,17.83590963,Berserker,17,7,,,,17,,
15,1,Required: iLvl 880,17.83590963,Deadeye,18,8,,,,18,,
15,1,Required: iLvl 920,17.83590963,Deathblade,19,9,,,,19,,
15,1,Required: iLvl 960,17.83590963,Gunlancer,20,10,,,,20,,
15,1,Required: iLvl 1040,17.83590963,Gunslinger,21,11,,,,21,,
15,1,Required: iLvl 1080,17.83590963,Paladin,22,12,,,,22,,
15,1,Required: iLvl 1302,17.83590963,Scrapper,23,13,,,,23,,
15,1,Required: iLvl 1302,17.83590963,Shadowhunter,24,14,,,,24,,
15,1,Required: iLvl 1325,17.83590963,Sharpshooter,25,15,,,,25,,
15,1,Required: iLvl 1355,17.83590963,Sorceress,26,16,,,,26,,
15,1,Required: iLvl 1385,17.83590963,Soulfist,27,17,,,,27,,
15,1,Required: iLvl 1415,17.83590963,Striker,28,18,,,,28,,
15,1,Required: iLvl 1460,17.83590963,Wardancer,29,19,,,,29,,
15,1,Required: iLvl 1490,17.83590963,,30,20,,,,30,,
15,1,Required: iLvl 1540,17.83590963,,31,22,,,,31,,
20,1,,23.78121284,,37,34,,,,37,,
25,1,,29.72651605,,38,36,,,,38,,
35,1,,41.61712247,,39,38,,,,39,,
65,1,,77.28894174,,40,40,,,,40,,
190,2,,225.921522,,41,43,,,,41,,
390,3,Tier 2 - iLvl 600+,463.7336504,,42,46,,,,42,,
TBD,TBD,Tier 3 - Coming Soon,TBD,,43,49,,,,43,,
