Site$,Time,PA$,Game Name,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
5.0,1.0,5.0,Game: League of Legends,0,,25-30,0,,25-30,0,
5.0,1.0,5.0,Region (NA/EUW/EUNE):,0,,30-35,0,,30-35,0,
5.0,1.0,5.0,Game Mode: Teamfight Tactics,0,,35-40,0,,35-40,0,
8.0,1.0,8.0,,0,,65-70,0,,65-70,0,
8.0,1.0,8.0,,0,,75-80,0,,75-80,0,
10.0,1.0,10.0,Game: League of Legends,0,,80-85,0,,80-85,0,
12.0,1.0,12.0,Region (NA/EUW/EUNE): NA,0,,85-90,0,,85-90,0,
12.0,1.0,12.0,Game Mode: Teamfight Tactics,0,,90-95,0,,90-95,0,
35.0,1.5,35.0,,0,,120-125,0,,120-125,0,
50.0,2.0,50.0,,0,,125-130,0,,125-130,0,
70.0,2.0,70.0,Use Site pricing for PA,0,,130-135,0,,130-135,0,
80.0,3.0,80.0,,0,,135-140,0,,135-140,0,
150.0,3.0,150.0,,0,,140-145,0,,140-145,0,
