PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
266.3495838,17.5,,224.0,Game: World of Warcraft Classic TBC,25-30,2,10.0,0,,25-30,0,
165.2794293,11.5,,139.0,Region (US/EU/OCE): ,30-35,2,10.0,0,,30-35,0,
101.0701546,6.0,,85.0,Service: ,35-40,2,10.0,0,,35-40,0,
,,,,Server Name: ,40-45,2,10.0,0,,40-45,0,
,,,,Type (PVE/PVP): ,45-50,3,15.0,0,,45-50,0,
,,,,Faction (A/H): ,50-55,4,20.0,0,,50-55,0,
4.756242568,0.5,,4.0,Class: ,55-60,6,30.0,0,,55-60,0,
5.94530321,0.5,,5.0,Battle.net Login: ,60-65,8,40.0,0,,60-65,0,
8.917954816,0.5,,7.5,Battle.net Password: ,65-70,9,45.0,0,,65-70,0,
8.917954816,0.5,,7.5,Account Name: ,70-75,0,0.0,0,,70-75,0,
11.89060642,0.5,,10.0,Character Name: ,75-80,0,0.0,0,,75-80,0,
11.89060642,0.5,,10.0,,85-90,0,,0,,85-90,0,
11.89060642,1.0,,10.0,,90-95,0,,0,,90-95,0,
17.83590963,2.0,,15.0,,100-105,0,,0,,100-105,0,
23.78121284,2.0,,20.0,Game: World of Warcraft Classic TBC,105-110,0,,0,,105-110,0,
35.67181926,2.0,,30.0,Region (US/EU/OCE): US,110-115,0,,0,,110-115,0,
47.56242568,3.0,,40.0,Service: Leveling 20-60,115-120,0,,0,,115-120,0,
53.50772889,3.0,,45.0,Server Name: Medivh,120-125,0,,0,,120-125,0,
,,,,Type (PVE/PVP): PVE,125-130,0,,0,,125-130,0,
,,,,Faction (A/H): Horde,130-135,0,,0,,130-135,0,
,,,,Class: Mage,135-140,0,,0,,135-140,0,
35.67181926,1.0,Required: L55+,30.0,Account Name: WOW2,150-155,0,,0,,150-155,0,
59.4530321,2.0,Required: L55+ & Mount,50.0,,175-180,0,,0,,175-180,0,
59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,180-185,0,,0,,180-185,0,
59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,195-200,0,,0,,195-200,0,
,,,,WOTLK,,,224.0,,0.0,,,0.0
59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,Current,62,,1,,Current,1,
47.56242568,2.0,Required: L55+ & Mount,40.0,,0.2,287.5,,250,,0.2,250,
47.56242568,2.0,Required: L55+ & Mount + TBC,40.0,,,,,,,,,
47.56242568,2.0,Required: L55+ & Mount,40.0,,Level,Cumulative,,Cumulative,,xxx,Cumulative,
47.56242568,2.0,Required: L55+ & Mount + TBC,40.0,,1,0,,0,,1,0,
89.17954816,2.0,Required: L55+ & Mount,75.0,,3,2,,,,3,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,Professions,4,3,,,,4,,
89.17954816,2.0,Required: L55+ & Mount,75.0,L15+ 01 to 50 skill,6,5,,,,6,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L25+ 51 to 70 skill,7,6,,,,7,,
,,,,L30+ 71 to 100 skill,8,7,,,,8,,
89.17954816,2.0,Required: L55+ & Mount,75.0,L35+ 101 to 115 skill,9,8,,,,9,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L40+ 116 to 125 skill,10,9,,,,10,,
,,,,L45+ 126 to 185 skill,11,10.5,,,,11,,
89.17954816,2.0,Required: L55+ & Mount,75.0,L50+ 186 to 205 skill,12,12,,,,12,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L55+ 206 to 300 skill,13,13.5,,,,13,,
89.17954816,2.0,Required: L55+ & Mount,75.0,,15,16.5,,,,15,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,16,18,,,,16,,
89.17954816,2.0,Required: L55+ & Mount,75.0,,18,21,,,,18,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,19,22.5,,,,19,,
89.17954816,2.0,Required: L55+ & Mount,75.0,,21,26,,,,21,,
166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,,22,28,,,,22,,
